 FileVersion=0003


       Time         hAtm       hRoot     hKode3     hKode1      hSeep     hKode5     hKode6     hKode7     hKode8     hKode9 ... 
       [T]          [L]         [L]        [L]        [L]        [L]        [L]        [L]       [L]        [L]        [L]

       25.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       25.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.5172      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.6206      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.7240      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.8275      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       26.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.0344      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.1378      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.2412      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.3447      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.4481      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.5515      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.6550      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.7584      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.8618      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       27.9309      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       28.0000      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       28.1034      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       28.2069      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       28.3103      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
       28.4137      0.000      0.000      0.000      4.500      0.000      0.000      5.462      0.000      0.000      0.000
